                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.657,                 3.3936,                 1.3236,                0.01855,                0.02427,                0.01787,                0.00895,                 2.0427,                 2.4578,                 1.3338,             5.1441e-05,             5.1441e-05,             5.1441e-05
                      2,                 2.3223,                 1.8525,                 1.1787,                0.02201,                0.02824,                0.02173,                0.01174,                 1.9507,                 2.0158,                 1.2343,             9.6614e-05,             9.6614e-05,             9.6614e-05
                      3,                 2.2723,                 1.7673,                 1.1468,                0.06384,                0.04244,                0.05299,                0.03187,                 1.9964,                 1.8729,                 1.2374,             0.00013492,             0.00013492,             0.00013492
                      4,                 2.3182,                 1.8345,                  1.138,                0.06911,                0.04809,                0.05631,                0.03226,                 2.0919,                 1.7542,                  1.258,             0.00012511,             0.00012511,             0.00012511
                      5,                 2.2717,                 1.7443,                 1.1425,                0.06776,                0.04767,                0.05781,                0.03399,                 1.9854,                 1.6207,                 1.2592,             0.00011482,             0.00011482,             0.00011482
                      6,                 2.2031,                 2.2827,                 1.1331,                0.10706,                0.06067,                0.07956,                0.04122,                 1.9915,                 1.7197,                 1.2626,             0.00010452,             0.00010452,             0.00010452
                      7,                 2.2337,                 2.2225,                 1.2028,                0.10354,                0.04462,                0.06275,                0.03307,                 2.0824,                 1.6353,                 1.2753,             9.4224e-05,             9.4224e-05,             9.4224e-05
                      8,                 2.2048,                 1.8181,                 1.1292,                0.08029,                0.04178,                0.05974,                0.03469,                 2.0979,                  1.602,                 1.2587,             8.3928e-05,             8.3928e-05,             8.3928e-05
                      9,                 2.1749,                 1.7657,                 1.1463,                0.08459,                0.04993,                  0.064,                0.03636,                 2.0705,                 1.5629,                 1.2254,             7.3632e-05,             7.3632e-05,             7.3632e-05
                     10,                 2.1429,                  1.722,                 1.1292,                0.10915,                0.05403,                0.07812,                0.04262,                 2.0873,                 1.5505,                 1.2293,             6.3336e-05,             6.3336e-05,             6.3336e-05
                     11,                 2.1517,                 1.6314,                 1.1168,                0.15466,                0.04624,                0.07094,                0.04284,                  2.025,                 1.4823,                  1.215,              5.304e-05,              5.304e-05,              5.304e-05
                     12,                 2.1165,                  1.745,                 1.1218,                0.10293,                 0.0496,                0.07045,                0.04225,                 1.9867,                 1.4714,                 1.2287,             4.2744e-05,             4.2744e-05,             4.2744e-05
                     13,                 2.1036,                 1.6111,                 1.1201,                0.09977,                0.05046,                0.07338,                0.04262,                 2.0507,                 1.4433,                 1.2253,             3.2448e-05,             3.2448e-05,             3.2448e-05
                     14,                 2.1021,                 1.5478,                 1.0941,                0.09785,                0.05157,                0.07285,                0.04368,                 2.0118,                 1.3964,                 1.2345,             2.2152e-05,             2.2152e-05,             2.2152e-05
                     15,                 2.0795,                 1.5095,                 1.1054,                0.09835,                0.05082,                 0.0674,                0.03961,                 2.0226,                 1.4258,                 1.2395,             1.1856e-05,             1.1856e-05,             1.1856e-05
